Performance indicator,Performance,Publication Year,Average_Performance
"['Rootmeansquareerror', 'Absoluteerror', 'Accuracy']","[0.02822421718220086, 0.43509430361062384, 0.012489156626506022]",0.8888888888888857,0.3411741415770541
['Accuracy'],0.015622489959839355,0.8888888888888857,0.45225568942436256
['Not available'],0.0,0.8888888888888857,0.44444444444444287
['Not available'],0.0,0.6666666666666714,0.3333333333333357
['Not available'],0.0,0.6666666666666714,0.3333333333333357
['Scorefunction'],0.5965048309178744,0.6666666666666714,0.6315857487922729
['Not available'],0.0,0.7777777777777857,0.38888888888889284
['Not available'],0.0,0.7777777777777857,0.38888888888889284
['Scorefunction'],0.5960144927536232,0.7777777777777857,0.6868961352657044
['Not available'],0.0,0.5555555555555571,0.27777777777777857
['Rootmeansquareerror'],0.028213488991935223,0.2777777777777857,0.15299563338486044
['Rootmeansquareerror'],0.028213488991935223,0.2777777777777857,0.15299563338486044
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Meanabsolutepercentageerror'],0.004732092726692516,0.9444444444444429,0.4745882685855677
['Confidendeinterval'],0.0,0.9444444444444429,0.47222222222222143
"['Prognostichorizon', 'Alpha-lambdaperformance', 'Relativeaccuracy', 'Convergence', 'Rootmeansquareerror']","[1.0, 0.0, 0.0, 0.0, 0.028214744154879304]",0.7222222222222285,0.29173949439618463
"['Prognostichorizon', 'Alpha-lambdaperformance', 'Relativeaccuracy', 'Convergence', 'Rootmeansquareerror']","[1.0, 0.0, 0.0, 0.0, 0.028214744154879304]",0.7222222222222285,0.29173949439618463
"['Scorefunction', 'Meansquareerror', 'Correlationcoefficient']","[0.6890096618357487, 0.5781929181929182, 1.0]",0.44444444444444287,0.6779117561182775
['Visualindicator'],1.0,0.44444444444444287,0.7222222222222214
['Not available'],0.0,0.8333333333333286,0.4166666666666643
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.2978723404255319, 0.6282730923694778, 1.0]",0.8333333333333286,0.6898696915320846
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.7659574468085106, 0.5076305220883534, 0.5055350553505538]",0.8333333333333286,0.6531140893951866
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.0, 0.7412449799196786, 0.0]",0.8333333333333286,0.39364457831325184
['Meanabsolutepercentageerror'],0.0010449090433885266,0.7222222222222285,0.3616335656328085
['Not available'],0.0,0.5555555555555571,0.27777777777777857
['Insensitivity'],0.0,0.6111111111111143,0.30555555555555713
"['Robustness', 'Insensitivity']","[0.0, 0.0]",0.6111111111111143,0.20370370370370475
"['Robustness', 'Insensitivity']","[0.0, 0.0]",0.6111111111111143,0.20370370370370475
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Rootmeansquareerror'],0.02821350096854721,0.9444444444444429,0.48632897270649506
['Not available'],0.0,0.0,0.0
['Not available'],0.0,0.0,0.0
['Not available'],0.0,0.0,0.0
['Not available'],0.0,1.0,0.5
['Standarddeviation'],0.0,1.0,0.5
"['Meansquareerror', 'MeansquareerrorGap']","[1.0, 0.0]",0.9444444444444429,0.6481481481481476
['Not available'],0.0,0.8333333333333286,0.4166666666666643
['Not available'],0.0,0.8333333333333286,0.4166666666666643
['Not available'],0.0,0.8888888888888857,0.44444444444444287
"['Prognostichorizon', 'Relativeaccuracy']","[0.0, 1.0]",0.8888888888888857,0.6296296296296285
['Not available'],0.0,0.6111111111111143,0.30555555555555713
['Not available'],0.0,0.6111111111111143,0.30555555555555713
"['Alpha-lambdaperformance', 'Relativeaccuracy']","[1.0, 0.9912203687445127]",0.6111111111111143,0.8674438266185422
"['Alpha-lambdaperformance', 'Relativeaccuracy']","[1.0, 0.9912203687445127]",0.6111111111111143,0.8674438266185422
['Not available'],0.0,0.8888888888888857,0.44444444444444287
['Not available'],0.0,0.8888888888888857,0.44444444444444287
['Visualindicator'],1.0,0.6111111111111143,0.8055555555555571
['Visualindicator'],1.0,0.6111111111111143,0.8055555555555571
['Not available'],0.0,0.5555555555555571,0.27777777777777857
"['Meanabsoluteerror(MAE)', 'Meanonestandarddeviationtoleranceinterval']","[0.0, 0.0]",0.6666666666666714,0.2222222222222238
['Reactiontime'],0.0,0.7222222222222285,0.36111111111111427
['Reactiontime'],0.9999999999999999,0.7222222222222285,0.8611111111111143
['Visualindicator'],1.0,0.6666666666666714,0.8333333333333357
['Visualindicator'],1.0,0.7777777777777857,0.8888888888888928
['Not available'],0.0,0.055555555555557135,0.027777777777778567
['Faultestimationerror'],0.0,0.8888888888888857,0.44444444444444287
['Not available'],0.0,0.3333333333333286,0.1666666666666643
['Scorefunction'],0.25567270531400965,0.3333333333333286,0.2945030193236691
"['Percentageerror', 'Rootmeansquareerror']","[1.0, 0.028213503384881208]",1.0,0.6760711677949605
['Visualindicator'],1.0,0.38888888888888573,0.6944444444444429
['Visualindicator'],1.0,0.9444444444444429,0.9722222222222214
"['Percentageerror', 'Visualindicator']","[0.0, 0.0]",0.6666666666666714,0.2222222222222238
['Not available'],0.0,0.6111111111111143,0.30555555555555713
['Errorcostfunctionofoptimization'],0.0,0.8888888888888857,0.44444444444444287
['Relativeerror'],0.16758860889162058,0.8888888888888857,0.5282387488902531
['Not available'],0.0,0.8888888888888857,0.44444444444444287
"['Rootmeansquareerror', 'Fitnessdegree']","[0.02821350333235221, 1.0]",0.9444444444444429,0.6575526492589318
"['Rootmeansquareerror', 'Absoluteerror', 'Relativeerror']","[0.02821350789362037, 0.23699116764878228, 0.9989756197500512]",0.9444444444444429,0.5521561849342242
"['Rootmeansquareerror', 'Absoluteerror', 'Relativeerror']","[0.02821350789362037, 0.23699116764878228, 1.0000000000000002]",0.9444444444444429,0.5524122799967115
"['Absoluteerror', 'Relativeerror']","[0.09428934044107352, 0.789420200778529]",0.9444444444444429,0.6093846618880151
['Not available'],0.0,0.8888888888888857,0.44444444444444287
['Fitnessdegree'],0.0,0.8888888888888857,0.44444444444444287
['Accuracy'],0.0151004016064257,0.8888888888888857,0.4519946452476557
['Not available'],0.0,0.6111111111111143,0.30555555555555713
"['Percentageerror', 'Rootmeansquareerror']","[0.9746835443037976, 0.028213606026547107]",0.9444444444444429,0.6491138649249292
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Rootmeansquareerror'],0.02821350096854721,0.9444444444444429,0.48632897270649506
['Accuracy'],0.9999999999999999,0.8888888888888857,0.9444444444444429
['Accuracy'],0.0,0.8888888888888857,0.44444444444444287
['Not available'],0.0,0.6666666666666714,0.3333333333333357
['Not available'],0.0,0.6666666666666714,0.3333333333333357
['Not available'],0.0,0.8333333333333286,0.4166666666666643
['Standarddeviation'],1.0,0.9444444444444429,0.9722222222222214
"['Meanabsoluteerror', 'Meanstandarddeviation']","[0.8189708364567239, 0.0]",0.9444444444444429,0.5878050936337222
"['Meanabsoluteerror', 'Meanstandarddeviation']","[1.0, 1.0]",0.9444444444444429,0.981481481481481
['Not available'],0.0,0.7222222222222285,0.36111111111111427
['Accuracy'],0.7791164658634537,0.6666666666666714,0.7228915662650626
['Not available'],0.0,0.6111111111111143,0.30555555555555713
['Accuracy'],0.010006425702811244,0.6111111111111143,0.3105587684069628
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Not available'],0.0,0.9444444444444429,0.47222222222222143
"['Averagedrootmeansquareerror', 'Averagedmeanabsoluteerror', 'Averagedcumulativerelativeaccuracy', 'Alpha-Lambdaperformance']","[0.0, 0.8593435780874834, 0.4712978943734898, 1.0]",0.8888888888888857,0.6439060722699719
"['Averagedrootmeansquareerror', 'Averagedmeanabsoluteerror', 'Averagedcumulativerelativeaccuracy', 'Alpha-Lambdaperformance']","[0.9999999999999998, 0.0, 0.0, 0.0]",0.8888888888888857,0.3777777777777771
"['Averagedrootmeansquareerror', 'Averagedmeanabsoluteerror', 'Averagedcumulativerelativeaccuracy', 'Alpha-Lambdaperformance']","[0.30691326534826513, 1.0, 1.0, 0.0]",0.8888888888888857,0.6391604308474301
['Relativeerror'],0.07150174144642492,0.8888888888888857,0.48019531516765535
['Relativeerror'],0.09977463634501127,0.8888888888888857,0.4943317626169485
['Relativeerror'],0.11800860479409957,0.8888888888888857,0.5034487468414927
['Relativeerror'],0.09035033804548248,0.8888888888888857,0.4896196134671841
